"Timepoint","Sample1","Sample2","Kruskal_pvalue","Wilcox_pvalue","Wilcox_sig"
0,"Ac","SC",1.02132753803406e-20,1.77988978534854e-11,"***"
0,"E25","SC",1.02132753803406e-20,0.359752217409596,"ns"
0,"UV7","SC",1.02132753803406e-20,0.0921392800573792,"ns"
0,"E25","Ac",1.02132753803406e-20,2.61594063233583e-15,"***"
0,"UV7","Ac",1.02132753803406e-20,5.81968497412706e-19,"***"
0,"UV7","E25",1.02132753803406e-20,0.359752217409596,"ns"
5,"Ac","SC",2.52881759544341e-29,0.220159576869949,"ns"
5,"E25","SC",2.52881759544341e-29,4.75214823013371e-05,"***"
5,"UV7","SC",2.52881759544341e-29,3.49284873408605e-26,"***"
5,"E25","Ac",2.52881759544341e-29,0.00243333627567735,"**"
5,"UV7","Ac",2.52881759544341e-29,1.47617216133473e-21,"***"
5,"UV7","E25",2.52881759544341e-29,6.703879792033e-10,"***"
11,"Ac","SC",7.26031789986663e-86,6.03729475221523e-06,"***"
11,"E25","SC",7.26031789986663e-86,1.10975859258204e-14,"***"
11,"UV7","SC",7.26031789986663e-86,8.03897086075551e-43,"***"
11,"E25","Ac",7.26031789986663e-86,2.70256492995939e-35,"***"
11,"UV7","Ac",7.26031789986663e-86,3.07691022211455e-74,"***"
11,"UV7","E25",7.26031789986663e-86,5.2586439224087e-10,"***"
20,"Ac","SC",1.75993051021294e-16,0.47018494168929,"ns"
20,"E25","SC",1.75993051021294e-16,2.08662739014081e-05,"***"
20,"UV7","SC",1.75993051021294e-16,2.98776702571622e-05,"***"
20,"E25","Ac",1.75993051021294e-16,5.32661926646028e-07,"***"
20,"UV7","Ac",1.75993051021294e-16,0.000325824569864029,"***"
20,"UV7","E25",1.75993051021294e-16,7.52573248008131e-18,"***"
35,"Ac","SC",9.99981655052493e-12,0.000175857922758844,"***"
35,"E25","SC",9.99981655052493e-12,7.73176150302141e-13,"***"
35,"UV7","SC",9.99981655052493e-12,0.0020686220242079,"**"
35,"E25","Ac",9.99981655052493e-12,0.000513114099984545,"***"
35,"UV7","Ac",9.99981655052493e-12,0.407528043797978,"ns"
35,"UV7","E25",9.99981655052493e-12,0.000120764220081151,"***"
